age_,gender,workclass,education,marital-status,occupation,race,weekly houers,place,income
31, Female, Local-gov, HS-grad, Never-married, Adm-clerical, White,40, United-States,0
42, Male, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White,40, United-States,0
24, Male, Private, Bachelors, Never-married, Sales, White,40, United-States,0
38, Male, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,40, United-States,1
56, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White,50, Canada,1
28, Female, Private, Some-college, Married-civ-spouse, Sales, White,25, United-States,0
36, Female, Private, HS-grad, Never-married, Machine-op-inspct, White,40, United-States,0
53, Male, Private, 9th, Married-civ-spouse, Handlers-cleaners, White,50, United-States,0
56, Male, Self-emp-inc, Some-college, Married-civ-spouse, Sales, White,50, United-States,0
49, Male, Local-gov, Assoc-voc, Married-civ-spouse, Craft-repair, Black,40, United-States,1
55, Male, Private, Some-college, Married-civ-spouse, Sales, White,56, United-States,0
22, Male, Private, HS-grad, Never-married, Craft-repair, White,41, United-States,0
21, Female, Private, Some-college, Never-married, Other-service, White,40, United-States,0
40, Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,60, United-States,0
30, Male, Private, Bachelors, Never-married, Exec-managerial, Black,40, Germany,0
29, Male, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,50, United-States,1
19, Male, Private, Some-college, Never-married, Other-service, Black,35, United-States,0
47, Female, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, United-States,1
20, Female, Private, Some-college, Never-married, Adm-clerical, White,28, United-States,0
31, Male, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White,40, United-States,1
35, Male, ?, HS-grad, Married-civ-spouse, ?, White,40, United-States,0
39, Male, Private, Some-college, Divorced, Craft-repair, White,40, United-States,0
28, Female, Private, Assoc-acdm, Never-married, Sales, White,60, United-States,0
24, Female, Private, HS-grad, Never-married, Other-service, White,40, United-States,0
38, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White,35, United-States,0
37, Male, Private, Bachelors, Married-civ-spouse, Sales, White,50, United-States,0
46, Female, Private, Assoc-acdm, Divorced, Tech-support, Black,36, United-States,0
38, Male, Federal-gov, Masters, Married-civ-spouse, Prof-specialty, White,40, Iran,1
43, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, White,60, United-States,0
27, Female, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, White,35, United-States,0
20, Male, Private, Some-college, Never-married, Sales, White,20, United-States,0
49, Male, Private, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander,40, United-States,1
61, Male, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White,40, United-States,0
27, Female, Private, Some-college, Never-married, Sales, White,40, United-States,0
19, Male, Private, Some-college, Never-married, Other-service, White,30, Mexico,0
45, Female, Private, Assoc-voc, Never-married, Prof-specialty, White,40, United-States,1
70, Male, Private, Some-college, Never-married, Tech-support, White,40, United-States,0
31, Female, Private, HS-grad, Never-married, Transport-moving, Black,30, United-States,0
22, Male, Private, Some-college, Married-civ-spouse, Other-service, White,24, United-States,0
36, Female, Private, HS-grad, Widowed, Other-service, White,24, United-States,0
64, Male, Private, 11th, Married-civ-spouse, Craft-repair, White,40, United-States,0
43, Female, ?, Some-college, Divorced, ?, White,40, United-States,0
47, Female, Local-gov, Some-college, Divorced, Adm-clerical, White,38, Mexico,0
34, Female, Private, HS-grad, Never-married, Adm-clerical, White,40, United-States,0
33, Female, Private, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander,40, Philippines,0
21, Male, Private, HS-grad, Never-married, Craft-repair, White,35, United-States,0
52, Male, ?, HS-grad, Divorced, ?, White,45, United-States,1
48, Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White,46, United-States,0
23, Male, Private, Bachelors, Never-married, Handlers-cleaners, White,40, United-States,0
71, Male, Self-emp-not-inc, Some-college, Separated, Sales, Black,2, United-States,0
29, Male, Private, HS-grad, Divorced, Craft-repair, White,60, United-States,0
42, Male, Private, Bachelors, Separated, Other-service, Black,50, United-States,0
68, Female, ?, 1st-4th, Divorced, ?, White,20, United-States,0
25, Female, Private, HS-grad, Never-married, Other-service, White,40, United-States,0
44, Female, Self-emp-inc, Masters, Divorced, Exec-managerial, Asian-Pac-Islander,40, United-States,0
28, Female, Private, HS-grad, Never-married, Exec-managerial, Asian-Pac-Islander,40, England,0
45, Male, Self-emp-not-inc, Masters, Married-civ-spouse, Sales, White,40, United-States,1
36, Female, Private, Some-college, Divorced, Other-service, White,40, Mexico,0
39, Male, Federal-gov, Assoc-acdm, Never-married, Exec-managerial, White,42, United-States,0
46, Male, State-gov, Masters, Widowed, Protective-serv, White,40, United-States,0
18, Male, Private, 11th, Never-married, Handlers-cleaners, White,16, United-States,0
66, Female, Local-gov, Assoc-voc, Widowed, Prof-specialty, White,20, United-States,0
27, Male, Private, HS-grad, Never-married, Other-service, White,40, United-States,0
28, Male, State-gov, HS-grad, Married-civ-spouse, Protective-serv, White,40, United-States,0
51, Male, Private, Some-college, Married-civ-spouse, Sales, White,40, United-States,1
27, Male, Private, Bachelors, Never-married, Craft-repair, White,50, United-States,0
28, Male, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, White,40, United-States,1
27, Female, Private, HS-grad, Married-spouse-absent, Sales, White,25, United-States,0
21, Male, Private, HS-grad, Never-married, Craft-repair, Black,40, United-States,0
34, Male, Private, HS-grad, Never-married, Handlers-cleaners, Black,40, United-States,0
18, Male, Private, HS-grad, Never-married, Other-service, White,12, United-States,0
33, Male, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,65, United-States,0
44, Male, Local-gov, Some-college, Married-civ-spouse, Exec-managerial, Black,38, United-States,1
43, Female, Private, Some-college, Divorced, Adm-clerical, White,40, United-States,0
30, Male, Private, Some-college, Never-married, Craft-repair, Black,45, United-States,0
40, Male, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White,40, Mexico,1
37, Male, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White,42, United-States,1
34, Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, Black,40, United-States,0
41, Female, Self-emp-not-inc, Bachelors, Divorced, Exec-managerial, White,40, United-States,0
53, Female, ?, Bachelors, Divorced, ?, White,50, United-States,0
31, Female, Private, Masters, Married-civ-spouse, Prof-specialty, White,50, United-States,0
58, Male, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, White,1, United-States,1
38, Female, Private, Some-college, Divorced, Machine-op-inspct, Black,28, United-States,0
24, Male, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White,40, United-States,0
41, Male, Local-gov, Bachelors, Married-civ-spouse, Craft-repair, Black,40, United-States,0
47, Male, Private, Some-college, Married-civ-spouse, Tech-support, White,45, United-States,0
41, Male, Federal-gov, Bachelors, Married-civ-spouse, Tech-support, White,24, United-States,0
23, Male, Private, 5th-6th, Married-civ-spouse, Transport-moving, White,40, Mexico,0
36, Male, Private, Some-college, Divorced, Craft-repair, White,40, United-States,0
40, Female, Federal-gov, Masters, Never-married, Exec-managerial, White,55, United-States,1
35, Male, Private, Masters, Married-civ-spouse, Prof-specialty, White,40, United-States,1
24, Male, Self-emp-not-inc, HS-grad, Never-married, Sales, White,40, United-States,0
26, Female, Private, Masters, Never-married, Prof-specialty, White,40, United-States,0
19, Male, ?, HS-grad, Never-married, ?, White,40, Italy,0
51, Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,50, United-States,1
42, Female, Local-gov, Some-college, Never-married, Prof-specialty, White,40, United-States,0
37, Female, State-gov, HS-grad, Divorced, Adm-clerical, White,35, United-States,0
18, Female, Private, 11th, Never-married, Sales, White,40, United-States,0
36, Male, Private, Bachelors, Married-civ-spouse, Other-service, Black,36, United-States,1
35, Male, Private, HS-grad, Divorced, Craft-repair, White,60, United-States,0
58, Female, Self-emp-inc, HS-grad, Married-civ-spouse, Sales, White,35, United-States,1
17, Female, Private, 11th, Never-married, Sales, White,12, United-States,0
44, Male, Local-gov, HS-grad, Married-civ-spouse, Transport-moving, Black,40, United-States,0
37, Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, United-States,1
35, Female, Private, Some-college, Never-married, Sales, Amer-Indian-Eskimo,40, United-States,0
60, Male, Private, HS-grad, Married-civ-spouse, Craft-repair, Asian-Pac-Islander,40, United-States,0
54, Male, Self-emp-inc, 7th-8th, Married-civ-spouse, Machine-op-inspct, White,40, United-States,1
37, Male, Private, Bachelors, Never-married, Exec-managerial, Black,60, United-States,1
50, Female, Private, Assoc-acdm, Divorced, Sales, White,40, United-States,0
38, Male, Private, Bachelors, Married-civ-spouse, Sales, White,50, Poland,0
45, Male, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,55, United-States,0
25, Male, Private, 10th, Never-married, Craft-repair, White,40, United-States,0
31, Male, Private, Some-college, Married-civ-spouse, Handlers-cleaners, White,40, United-States,0
64, Male, ?, 1st-4th, Divorced, ?, White,40, United-States,0
90, Male, Private, HS-grad, Never-married, Other-service, Black,40, United-States,0
54, Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, Black,20, United-States,0
53, Female, Local-gov, Preschool, Never-married, Machine-op-inspct, White,35, United-States,0
18, Female, Private, HS-grad, Never-married, Sales, White,40, United-States,0
60, Female, ?, 10th, Divorced, ?, Amer-Indian-Eskimo,10, United-States,0
66, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, White,50, United-States,0
75, Female, Private, Assoc-voc, Widowed, Adm-clerical, White,20, Columbia,0
65, Female, Private, HS-grad, Divorced, Adm-clerical, White,40, United-States,0
35, Male, Private, 11th, Separated, Transport-moving, Black,40, United-States,0
41, Female, Private, HS-grad, Divorced, Sales, Black,38, United-States,0
25, Male, Private, Some-college, Never-married, Adm-clerical, White,42, United-States,0
33, Female, Private, Some-college, Divorced, Craft-repair, Other,40, United-States,0
28, Male, Private, Prof-school, Never-married, Prof-specialty, White,55, United-States,1
59, Male, State-gov, HS-grad, Married-civ-spouse, Other-service, White,40, United-States,0
40, Female, State-gov, Some-college, Never-married, Adm-clerical, White,38, United-States,0
41, Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,50, Iran,1
38, Male, Local-gov, Masters, Married-civ-spouse, Exec-managerial, White,70, United-States,1
23, Male, Private, HS-grad, Never-married, Transport-moving, White,40, United-States,0
40, Male, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,40, United-States,1
41, Female, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White,20, United-States,0
24, Male, State-gov, Assoc-acdm, Married-civ-spouse, Protective-serv, White,50, United-States,0
20, Male, ?, Some-college, Never-married, ?, White,20, United-States,0
38, Male, Private, Some-college, Divorced, Craft-repair, White,40, United-States,0
56, Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,35, ?,0
58, Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,45, United-States,1
32, Female, Private, HS-grad, Never-married, Other-service, White,34, United-States,0
40, Male, Private, Assoc-acdm, Married-civ-spouse, Tech-support, White,60, United-States,1
45, Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,40, ?,0
41, Female, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,40, United-States,1
42, Female, Private, Bachelors, Married-civ-spouse, Adm-clerical, Black,40, United-States,0
59, Female, Local-gov, 10th, Widowed, Other-service, Black,30, United-States,0
19, Male, Local-gov, Some-college, Never-married, Adm-clerical, White,40, United-States,0
58, Male, Private, Some-college, Never-married, Transport-moving, White,20, United-States,0
42, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander,40, Cambodia,1
20, Female, Private, HS-grad, Never-married, Other-service, White,40, United-States,0
32, Female, Private, HS-grad, Separated, Other-service, White,30, United-States,0
45, Female, Private, Assoc-voc, Widowed, Exec-managerial, White,45, United-States,0
50, Male, Private, 7th-8th, Divorced, Craft-repair, White,40, United-States,0
36, Female, Private, Bachelors, Divorced, Prof-specialty, White,40, United-States,0
45, Male, Private, HS-grad, Married-civ-spouse, Sales, White,60, United-States,0
17, Male, Private, 11th, Never-married, Other-service, White,12, United-States,0
59, Male, Private, Some-college, Married-civ-spouse, Sales, White,40, United-States,0
26, Male, Private, 11th, Married-civ-spouse, Craft-repair, White,40, United-States,0
37, Male, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,75, Thailand,1
19, Male, ?, Some-college, Never-married, ?, White,24, Canada,0
64, Male, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,40, United-States,1
33, Female, Private, Bachelors, Never-married, Prof-specialty, White,45, United-States,0
33, Female, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, United-States,1
61, Male, Private, HS-grad, Married-civ-spouse, Exec-managerial, White,40, United-States,1
17, Male, Private, 9th, Never-married, Other-service, White,24, United-States,0
50, Male, Self-emp-not-inc, Masters, Married-civ-spouse, Farming-fishing, White,98, United-States,0
27, Male, Local-gov, Masters, Never-married, Prof-specialty, White,35, United-States,0
30, Female, Private, HS-grad, Divorced, Prof-specialty, White,40, United-States,0
43, Male, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Black,40, United-States,0
44, Male, Private, Some-college, Married-civ-spouse, Craft-repair, White,40, United-States,1
35, Female, Private, Some-college, Never-married, Exec-managerial, White,40, United-States,0
25, Female, Private, Some-college, Never-married, Tech-support, White,40, United-States,0
24, Female, Private, Some-college, Married-civ-spouse, Machine-op-inspct, White,48, United-States,1
22, Female, Private, Bachelors, Never-married, Prof-specialty, White,15, Germany,0
42, Male, Local-gov, Some-college, Married-civ-spouse, Craft-repair, White,40, United-States,1
34, Female, Private, Assoc-acdm, Divorced, Sales, Black,45, United-States,0
60, Female, Private, Bachelors, Divorced, Prof-specialty, White,42, United-States,0
21, Male, Private, HS-grad, Never-married, Handlers-cleaners, White,40, United-States,0
57, Male, Federal-gov, Masters, Married-civ-spouse, Sales, White,40, United-States,1
41, Male, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,60, United-States,1
50, Male, Private, Some-college, Divorced, Other-service, White,45, United-States,0
25, Female, Private, Bachelors, Never-married, Exec-managerial, White,40, United-States,0
50, Male, Private, 7th-8th, Married-civ-spouse, Craft-repair, White,40, Ecuador,0
36, Male, Private, Bachelors, Married-civ-spouse, Prof-specialty, White,45, United-States,0
31, Female, Private, HS-grad, Divorced, Prof-specialty, White,40, United-States,0
29, Male, Local-gov, Bachelors, Never-married, Protective-serv, White,56, United-States,0
21, Male, Private, Some-college, Never-married, Sales, White,45, United-States,0
27, Female, Private, Bachelors, Never-married, Tech-support, Black,40, United-States,0
65, Male, Private, HS-grad, Married-civ-spouse, Transport-moving, White,16, United-States,0
37, Female, Self-emp-inc, Bachelors, Divorced, Sales, White,60, United-States,0
39, Female, ?, Masters, Married-civ-spouse, ?, Asian-Pac-Islander,40, ?,0
24, Male, Private, HS-grad, Never-married, Craft-repair, White,40, United-States,0
38, Male, Private, HS-grad, Divorced, Sales, White,80, United-States,0
48, Male, Private, Bachelors, Married-civ-spouse, Adm-clerical, White,40, United-States,1
21, Female, Private, Some-college, Never-married, Other-service, Asian-Pac-Islander,25, United-States,0
31, Male, Private, HS-grad, Married-civ-spouse, Transport-moving, White,45, United-States,1
55, Male, Private, HS-grad, Married-civ-spouse, Sales, White,40, United-States,1
24, Female, Private, Some-college, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander,40, Laos,0
43, Female, Private, HS-grad, Divorced, Adm-clerical, White,40, United-States,0
26, Male, Private, Assoc-acdm, Never-married, Tech-support, White,45, United-States,0
46, Female, Private, Assoc-acdm, Never-married, Prof-specialty, White,33, United-States,0
35, Male, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White,40, United-States,1
41, Male, Self-emp-inc, Some-college, Married-civ-spouse, Farming-fishing, White,54, United-States,1
26, Male, Private, Bachelors, Never-married, Sales, White,40, United-States,0
34, Male, Private, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander,35, Taiwan,1
19, Female, ?, Some-college, Never-married, ?, Black,25, United-States,0
36, Female, Self-emp-not-inc, Bachelors, Divorced, Prof-specialty, Black,40, United-States,1
22, Male, Private, Some-college, Never-married, Sales, White,15, United-States,0
24, Male, Private, Some-college, Never-married, Machine-op-inspct, White,40, United-States,0
77, Male, Self-emp-not-inc, Some-college, Married-civ-spouse, Sales, White,40, United-States,0
22, Female, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White,40, Mexico,0
29, Female, Private, Some-college, Never-married, Tech-support, White,40, United-States,0
62, Female, Private, HS-grad, Widowed, Other-service, White,24, United-States,0
39, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,40, United-States,0
43, Male, Private, Some-college, Married-civ-spouse, Craft-repair, White,50, United-States,0
35, Male, Private, HS-grad, Divorced, Transport-moving, White,45, United-States,0
29, Female, Private, 11th, Never-married, Exec-managerial, White,40, United-States,0
76, Male, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, White,10, United-States,0
63, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, White,45, United-States,0
23, Female, ?, Assoc-voc, Never-married, ?, Black,15, United-States,0
43, Female, Private, Some-college, Married-civ-spouse, Prof-specialty, White,50, United-States,1
58, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Handlers-cleaners, White,40, United-States,0
66, Male, Private, HS-grad, Never-married, Transport-moving, White,55, United-States,0
41, Male, Private, Some-college, Never-married, Craft-repair, Black,45, United-States,0
26, Male, Private, Bachelors, Never-married, Adm-clerical, White,40, United-States,0
47, Male, Private, Assoc-voc, Never-married, Other-service, White,40, United-States,0
55, Male, Local-gov, 10th, Married-civ-spouse, Adm-clerical, White,40, United-States,0
53, Male, Private, HS-grad, Married-civ-spouse, Transport-moving, White,40, United-States,0
17, Male, Private, 5th-6th, Never-married, Other-service, White,48, Mexico,0
30, Male, Private, HS-grad, Never-married, Craft-repair, White,40, United-States,0
49, Male, Private, Masters, Never-married, Prof-specialty, White,60, United-States,0
19, Male, Private, HS-grad, Never-married, Sales, Black,30, Haiti,0
45, Male, Private, HS-grad, Married-civ-spouse, Other-service, Black,40, United-States,0
26, Male, Private, Assoc-acdm, Never-married, Sales, White,40, United-States,0
38, Male, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White,40, United-States,1
36, Male, State-gov, HS-grad, Married-civ-spouse, Protective-serv, White,40, United-States,1
33, Male, Private, HS-grad, Never-married, Farming-fishing, White,20, United-States,0
22, Female, State-gov, Some-college, Never-married, Protective-serv, Black,40, United-States,0
43, Male, Self-emp-not-inc, Bachelors, Never-married, Sales, White,42, United-States,0
67, Male, ?, 11th, Married-civ-spouse, ?, White,8, United-States,0
30, Female, ?, Assoc-voc, Divorced, ?, White,40, United-States,0
56, Male, Private, Assoc-acdm, Married-spouse-absent, Other-service, White,25, Iran,0
31, Male, Private, Bachelors, Never-married, Prof-specialty, White,25, United-States,0
